K01631	ko01100;ko00052
K18443	ko04144
K03850	ko01100;ko00510
K03852	ko00430
K03856	ko01100;ko01110;ko01130;ko01230;ko00400
K08484	ko02060
K13018	ko00520
K03523	ko02010
K03525	ko01100;ko00770
K03524	ko01100;ko00780
K03527	ko01100;ko01110;ko01130;ko00900
K03526	ko01100;ko01110;ko01130;ko00900
K13010	ko00520
K02851	ko01100;ko00572
K02584	ko02020
K13015	ko00520
K13017	ko00520
K03679	ko03018
K18911	ko00340
K18912	ko00340
K03671	ko05418;ko04621
K03673	ko01503
K01928	ko00300;ko00550
K03897	ko01120;ko00310
K06001	ko01100;ko01110;ko01130;ko01230;ko00400;ko00260
K02212	ko03030;ko04110;ko04111;ko04113
K02218	ko04011;ko04392
K13277	ko02024
K01136	ko01100;ko04142;ko00531
K17794	ko04212
K12308	ko00052
K12304	ko00230;ko00240
K03073	ko03060;ko03070;ko02024
K03072	ko03060;ko03070
K03071	ko03060;ko03070;ko02024
K03070	ko03060;ko03070;ko02024
K03076	ko03060;ko03070;ko02024
K03075	ko03060;ko03070;ko02024
K03074	ko03060;ko03070
K11650	ko04714;ko05225
K08966	ko01100;ko00270
K08963	ko01100;ko00270
K03274	ko01100;ko00540
K03271	ko01100;ko00540
K03270	ko01100;ko00540
K03273	ko01100;ko00540
K03272	ko01100;ko00540
K15542	ko03015;ko03015
K06134	ko01100;ko01110;ko00130
K06640	ko04110;ko05170;ko05165;ko04218;ko05166;ko04115;ko04214;ko03460
K06131	ko01100;ko00564
K06130	ko00564
K06133	ko00770
K17488	ko01100;ko00790
K12276	ko05111
K12275	ko04141;ko03060
K03184	ko01100;ko01110;ko00130
K03183	ko01100;ko01110;ko00130
K12272	ko03060
K03181	ko01100;ko01110;ko00130
K07198	ko04910;ko04152;ko04714;ko04211;ko04920;ko04213;ko04140;ko04371;ko04150;ko04922;ko04932;ko04530;ko04931;ko04151;ko04710;ko05410;ko04921;ko04068;ko05418
K12454	ko00520
K07190	ko04910;ko04922;ko04020
K12452	ko00520
K07192	ko04910
K12450	ko00520
K16013	ko02010;ko02010
K09971	ko02010
K07604	ko04915
K02276	ko01100;ko00190
K09972	ko02010
K06228	ko04341
K01100	ko01100;ko01120;ko01200;ko00710
K09903	ko01100;ko00240
K01515	ko00230
K02825	ko01100;ko00240
