Genomic bins	9AM-1	9AM-3	9AM-2	9AM-5	9AM-4	ALL-DNA	9AM-6	9PM-6	9PM-4	9PM-5	9PM-2	9PM-3	9PM-1
T17_Halorientalis_66_5	6.63493029184	3.00702898876	1.14985994548	10.4651234304	2.68566991627	3.34776515747	4.10084645369	1.25736767085	2.65380929949	1.57478019844	2.93580875952	2.73494018828	1.86172680419
T17_Natronomonas_69_63	20.6825912058	42.1344192402	41.77616133	25.4790800319	25.4127284678	36.8200551966	66.8531492883	32.783155701	57.094279397	25.9316278184	26.1317983921	23.8212308728	52.0304445676
T17_Halobacterium_70_12	4.61724534894	5.05106335652	3.93146156341	7.85063177	6.78265294502	7.35053485467	4.53323381846	8.45206735514	6.23589058836	4.05201506211	9.70315244257	20.7507146574	6.33172401465
T17_Halobacteriaceae_68_4	0.789396622274	0.332180627107	1.59527901602	18.3337299811	2.68022097415	2.56733707917	0.365448805256	1.25232944053	1.09368937361	4.85745300736	0.402893757414	2.50249296626	0.307934871142
T17_Halobacteriaceae_65_4	0.526043891192	2.24815570579	0.893573541971	4.17051461648	0.707430734348	2.86141047415	0.57683036892	2.52789446221	13.3571138482	3.79495134472	5.15387399498	1.6426067416	1.92225272168
T17_Nanohaloarchaea_46_6	3.29971533573	2.20040703052	2.430932189	10.7688232593	2.34959182354	3.85077536429	12.7186982126	1.24278641342	0.638848861529	1.21253519108	3.45541138487	4.42424714818	2.17922774693
T17_Nanohaloarchaea_45_3	0.386385567863	3.00256860039	3.236798074	2.66892321803	1.38399095022	1.82758195306	2.10092364184	1.0994129266	1.3991678057	1.12665259798	3.08433424578	0.961972046536	1.29198245235
T17_Dolichomastix_48_77	41.1195412279	37.6524339012	26.7884374708	36.1216913862	31.3731614472	38.8012348325	49.8779085118	59.1438451395	31.0266526617	54.3968815726	28.1349558469	37.7965936152	34.8297618679
T17_Halothece_48_61	19.5697076445	34.2995157134	19.9325387165	26.1702173971	27.0383809731	31.4208271138	40.9595758304	29.7834733718	56.4982598935	25.946769387	14.171779966	57.8339107869	23.8127841091
T17_Nanohaloarchaea_41_10	5.16132543999	2.88661197125	7.48362804981	2.06568414662	16.0399883576	5.79382878058	9.71328909222	3.98708802211	0.805199413639	2.0128240905	3.61181058469	4.80071910018	7.09230474795
T17_Salinibacter_61_3	2.39163474171	2.77557710816	2.80612075288	1.66075043077	2.46145142315	2.92039305657	4.86061770962	2.26706805815	6.0406361108	2.00149387526	1.35593698342	2.68168080315	3.64592674344
T17_Haloarculaceae_69_5	3.00154270135	1.92639670127	1.22729150523	2.05457530287	1.95549976357	3.93789589427	3.0668478615	2.19402175726	1.49078376569	1.61082924194	16.8642037224	10.6999190303	1.75102564254
T17_Haloarculaceae_66_4	1.74403365124	4.61278793298	2.58516766073	3.06322664675	2.87612546615	2.97665539575	2.19329155165	2.34717148066	3.01141407425	7.35881547556	1.98297267094	0.882011351762	3.29426715769
T17_Halococcus_65_7	7.19979587904	3.90856120517	0.964808343834	5.32745632397	2.21061168207	4.81932610259	5.89596624632	5.54672534259	4.11929258995	5.34540529327	3.01942416251	11.0175384247	3.3939878067
T17_Halorubrum_68_7	3.34359282378	2.33011333363	6.37826110886	0.745055096235	2.5760957701	4.12946319932	3.30789823829	11.3274318557	4.2082594327	2.0853179075	6.31285233778	5.79081114579	1.61503662412
T17_Halobacteriaceae_64_9	0.907681987799	1.08619486893	1.20970678998	1.90935471701	0.817368228293	4.98435280714	1.11648471726	1.15312728315	1.31899429789	0.882807084236	14.2989786667	32.4301841751	1.29005224153
T17_Haloarculaceae_66_11	0.83767704956	1.24895499595	17.3653717969	1.32715058891	2.80760135619	5.98734315292	3.72151817411	10.1660446926	4.11811852722	6.1209837802	10.073813037	4.23543408677	10.0941125226
T17_Haloarculaceae_70_7	1.56716579624	2.18163346852	6.553977499	4.72100586443	4.61233411447	4.66050503969	4.43544803925	2.29761466724	4.60455765576	9.90488334693	10.0600071464	1.42123808093	5.08166520782
T17_Halorubrum_73_5	2.13042114709	5.63143012448	5.68775276377	2.70777956309	5.26883290998	3.72212051805	3.33432451892	2.59112852183	3.72859007794	2.54529178246	3.08913953742	2.52251113379	4.05389141903
T17_Haloarculaceae_66_67	0.684885199882	0.683852156151	9.29580938765	1.39061510139	2.14239007903	3.18227225337	0.700974024802	4.05296928238	3.26178623611	3.46950510669	10.5004318646	0.844370819337	1.99512614175
T17_Halofilum_68_4	4.30795354632	2.35366593337	3.6246643542	4.08729664628	2.61825736614	3.21051337707	3.59722155532	2.63455140106	2.74414000758	3.5199226157	2.03290325145	3.20323454008	3.75783874911
T17_Halosimplex_68_6	3.83295869797	6.53987075576	2.93842491212	4.5790787284	6.32593081692	4.28523459104	3.94631940235	1.64940573392	3.13970015038	3.27742086391	8.71226380354	1.86449498146	3.9186935177
T17_Halorubrum_68_6	0.704573003444	1.31604666891	2.78180971763	5.21633687048	4.83995539232	4.03433021012	4.19809359415	5.46729816333	3.21776288007	5.26094915648	3.0310096386	5.27011833625	8.33537836272
